YEAR,GQ,METAREA,AGE,SEX,RACE,HISPAN,EDUC,INCWAGE,WKSWORK1,UHRSWORK1
1977,1,7360,32,2,100,0,40,5800.05,24,24
1977,1,1600,38,2,100,0,20,31894.78,42,60
1977,1,3200,61,1,100,0,90,6738.49,39,18
1977,1,4480,45,1,100,0,20,28421.57,36,50
1977,1,1600,23,1,100,0,100,7868.28,10,62
1977,2,4480,57,2,100,0,90,24532.59,45,41
1977,1,7360,18,1,100,0,60,6355.55,51,8
1977,1,1600,58,2,200,0,30,13337.75,24,37
1977,1,3200,52,1,100,0,100,574.95,14,27
1977,1,7360,68,1,100,0,80,5274.23,23,15
1977,1,4480,30,1,100,0,110,1660.0,6,28
1977,1,3200,45,1,200,0,90,548.07,13,3
1977,1,3200,26,1,100,0,60,21682.26,32,52
1977,1,500,56,1,100,0,20,1263.84,2,54
1977,1,1000,18,1,100,0,111,1957.7,4,55
1977,1,7360,69,2,100,0,100,271.67,6,3
1977,1,3200,53,1,100,0,90,19116.49,33,40
1977,1,4480,42,1,100,0,50,32706.0,48,60
1977,1,1000,65,2,100,100,50,11340.58,19,48
1977,1,1000,41,2,300,0,90,14907.67,48,25
1977,1,1600,19,2,100,0,100,15200.55,21,48
1977,1,1000,50,2,100,0,60,33088.56,38,51
1977,1,3200,44,2,100,0,80,16342.49,48,19
1977,2,4480,45,1,100,100,100,18125.19,29,46
1977,1,500,52,2,100,0,50,801.38,3,18
1977,1,1600,49,2,100,0,60,16328.29,40,33
1977,1,7360,59,2,200,100,110,15837.48,36,45
1977,1,4480,51,1,100,0,80,14660.04,22,58
1977,1,1000,69,1,100,0,70,3705.15,44,5
1977,1,3200,57,2,300,0,70,12557.35,19,58
1977,1,7360,43,2,200,0,70,364.57,1,34
1977,1,7360,18,2,100,0,90,3488.64,12,26
1977,1,7360,39,1,100,0,20,29752.69,52,69
1977,1,4480,50,1,100,0,110,6116.19,52,10
1977,1,1600,49,2,100,0,30,19527.98,49,32
1977,2,4480,50,1,100,200,70,6298.86,10,43
1977,1,7360,29,1,100,0,90,1560.04,8,26
1977,1,4480,67,2,200,0,100,12503.21,10,73
1977,1,3200,66,2,100,0,90,17828.57,32,37
1977,1,3200,58,1,100,0,70,7034.03,19,49
1977,1,7360,58,2,100,200,90,3633.53,47,16
1977,1,3200,38,2,200,0,30,5576.25,39,14
1977,1,7360,52,2,100,0,40,7679.56,44,17
1977,1,1600,19,1,100,200,70,11328.72,52,17
1977,1,500,42,2,100,0,80,31141.97,39,74
1977,1,1600,37,1,100,0,100,14677.64,49,25
1977,1,7360,23,2,300,0,70,17841.15,21,75
1977,1,1000,35,1,100,0,111,630.75,3,16
1977,1,3200,29,2,100,0,40,3532.45,28,36
1977,1,4480,54,2,300,0,80,15241.35,20,77
1977,1,7360,30,2,200,200,100,334.36,2,10
1977,1,500,66,1,100,0,100,334.07,33,1
1977,1,4480,34,2,100,100,90,4881.86,10,74
1977,1,1000,68,1,100,100,100,21094.76,31,72
1977,2,1600,51,1,200,0,100,16667.31,30,57
1977,3,7360,38,2,200,100,90,33235.55,50,30
1977,1,3200,51,1,100,0,70,2861.44,51,5
1977,1,1000,37,1,300,0,70,50000.0,48,75
1977,1,1000,40,1,100,0,90,20392.81,25,67
1977,1,500,68,1,100,0,50,81.47,1,5
1977,1,1600,63,1,100,0,20,14230.45,22,56
1977,1,1000,52,1,100,0,80,19942.32,23,78
1977,1,7360,43,1,100,0,110,15308.5,47,18
1977,1,1000,54,1,100,0,30,923.53,25,17
1977,1,1000,21,1,100,0,90,6737.07,47,8
1977,1,7360,23,2,100,0,80,34883.01,33,53
1977,1,4480,47,1,100,0,110,20682.37,51,31
1977,1,1600,37,2,200,0,60,37308.59,51,62
1977,2,500,32,2,100,0,50,1106.74,4,19
1977,1,1000,43,2,100,0,110,865.35,3,33
1977,1,1600,22,1,300,0,100,38136.0,37,73
1977,1,3200,47,1,200,0,70,1758.86,11,9
1977,1,3200,52,2,100,0,100,7285.41,37,14
1977,1,3200,31,2,100,100,70,7590.48,39,14
1977,1,7360,55,2,100,0,70,443.63,2,78
1977,1,3200,25,2,100,100,80,17233.49,27,36
1977,1,500,50,2,100,0,50,5975.56,5,74
1977,1,4480,62,1,100,0,40,5378.36,12,45
1977,2,3200,68,2,100,0,100,15765.78,40,38
1977,1,3200,29,2,100,0,60,20232.79,43,76
1977,1,4480,22,2,100,0,80,14036.19,51,29
1977,1,1000,18,2,100,0,70,6672.28,9,74
1977,1,7360,43,1,100,0,110,7738.99,18,34
1977,1,3200,68,1,100,0,20,27591.15,29,63
1977,1,1600,45,1,100,200,73,16635.88,22,63
1977,1,7360,47,2,100,100,50,17054.58,45,30
1977,1,3200,35,1,100,0,80,12054.21,30,38
1977,2,3200,49,1,200,0,100,20725.1,32,50
1977,1,1000,20,1,100,0,40,1088.06,3,51
1977,1,3200,33,1,100,0,60,7693.33,7,74
1977,1,7360,36,1,200,0,90,1602.04,5,20
1977,1,4480,37,2,100,0,73,12442.87,52,24
1977,1,3200,63,1,100,0,80,475.43,2,25
1977,1,4480,43,2,100,0,10,9108.79,21,42
1977,1,1600,34,1,100,0,40,24078.43,27,57
1977,1,7360,24,2,200,0,100,900.05,2,54
1977,1,3200,53,2,100,0,73,42804.99,39,54
1977,1,500,22,1,100,0,50,11364.0,17,62
1977,1,500,60,1,100,0,30,14475.5,25,61
1977,1,3200,67,2,100,0,90,49972.47,44,59
1977,1,7360,34,2,100,0,80,2556.83,8,21
1977,1,1000,35,1,100,200,110,2515.36,10,16
1977,1,500,40,2,100,0,40,27456.74,51,48
1977,1,4480,56,1,100,0,90,21502.19,44,60
1977,1,3200,54,2,100,0,80,1258.12,4,25
1977,1,4480,19,1,200,0,110,23530.16,32,39
1977,3,7360,66,1,100,0,110,1581.82,10,30
1977,1,1000,20,1,100,100,100,15492.68,48,65
1977,1,1000,32,1,100,0,110,46131.77,43,70
1977,1,500,24,2,100,200,90,42725.4,45,74
1977,1,1000,43,1,300,0,100,24801.66,23,49
1977,1,3200,59,1,100,200,110,13170.68,13,73
1977,1,7360,51,1,100,0,80,30294.58,34,76
1977,1,500,28,1,100,0,60,5264.85,26,18
1977,1,4480,65,2,100,100,80,32731.74,29,58
1977,1,7360,62,2,100,100,60,30074.84,48,41
1977,1,7360,42,2,100,0,50,42179.75,45,58
1977,1,3200,47,2,100,0,100,302.15,2,13
1977,1,1000,58,2,100,0,80,2126.58,6,30
1977,1,4480,32,2,100,200,90,18455.63,27,64
1977,3,1000,27,1,100,0,110,27371.23,47,29
1977,1,4480,24,1,200,0,100,5406.22,23,26
1977,1,1600,46,2,100,100,80,4567.27,11,32
1977,1,3200,20,2,100,0,110,1169.24,20,6
1977,1,7360,20,1,100,0,100,17161.87,49,25
1977,1,3200,25,1,100,0,40,50000.0,50,71
1977,1,4480,41,2,100,0,80,1811.42,17,9
1977,1,7360,19,2,100,0,10,4293.4,18,38
1977,1,7360,42,2,100,0,80,27917.67,17,76
1977,1,1600,57,1,100,0,30,30262.26,33,77
1977,1,1600,55,2,100,0,50,50000.0,49,75
1977,1,1000,67,2,300,0,100,9204.6,7,75
1977,1,4480,23,2,100,0,80,1240.05,11,12
1977,1,1600,36,2,100,0,100,22584.64,51,44
1977,1,1600,36,1,300,200,90,23422.0,35,61
1977,1,1600,41,1,100,0,111,13308.83,49,51
1977,1,4480,51,1,200,100,73,50000.0,51,58
1977,2,3200,43,2,200,0,60,44729.49,37,69
1977,1,1000,64,2,100,0,30,10660.42,25,28
1977,1,4480,53,2,100,0,30,701.69,10,10
1977,1,1000,18,1,100,200,60,14519.81,28,37
1977,3,4480,45,2,100,0,20,1127.03,9,37
1977,1,500,46,2,100,0,30,33715.82,51,78
1977,1,3200,60,1,100,200,90,39697.24,43,50
1977,1,4480,40,1,100,0,50,455.84,50,1
1977,1,1600,18,2,300,0,80,5239.77,8,47
1977,1,4480,44,2,100,0,50,15222.74,48,69
1977,1,1000,50,1,200,0,80,252.38,4,4
1977,1,1600,35,2,100,100,70,1822.01,7,15
1977,1,3200,46,1,100,0,50,46230.65,35,72
1977,1,1600,19,1,100,100,80,4129.89,29,26
1977,1,3200,65,2,100,0,80,25634.13,43,47
1977,1,1000,53,2,100,200,70,2930.65,4,52
1977,1,1600,53,2,100,200,100,6644.58,7,74
1977,1,1000,59,1,200,0,30,27497.93,44,45
1977,1,7360,39,2,200,0,50,37971.95,42,72
1977,1,1000,43,1,100,0,110,4378.04,25,18
1977,1,7360,64,1,200,0,80,7619.47,37,15
1977,1,3200,27,1,100,0,40,788.45,7,18
1977,1,1000,28,2,100,0,100,6103.99,39,36
1977,1,1000,53,1,100,0,70,38029.32,49,60
1977,3,1600,20,2,100,0,90,404.35,2,35
1977,1,4480,25,2,100,200,90,16860.59,16,62
1977,1,4480,25,2,300,0,70,3509.88,5,65
1977,1,7360,37,2,100,0,40,5765.16,38,14
1977,1,1000,38,1,100,0,100,18331.88,26,68
1977,1,3200,39,1,300,100,50,16352.06,42,38
1977,1,3200,33,1,200,0,20,45496.03,35,78
1977,1,500,27,2,100,100,110,24678.48,46,54
1977,1,500,23,1,100,0,20,2830.88,4,45
1977,1,4480,30,2,200,0,110,699.52,43,2
1977,1,3200,51,1,100,200,30,1107.17,9,9
1977,1,1000,45,1,100,0,30,21446.49,39,40
1977,1,4480,53,2,100,0,110,4106.83,35,7
1977,1,7360,39,2,100,0,73,1685.5,21,10
1977,1,7360,38,2,100,0,30,14603.95,17,60
1977,1,7360,69,1,100,0,110,10082.24,18,52
1977,1,500,66,2,200,0,90,4670.34,29,10
1977,1,500,57,1,100,0,110,3092.64,15,17
1977,1,4480,18,1,100,0,100,10999.27,51,24
1977,2,1000,22,1,100,0,111,1271.01,19,7
1977,1,7360,47,2,100,0,30,2281.83,17,8
1977,1,1000,26,1,100,0,90,27366.67,41,62
1977,1,3200,57,1,100,100,80,5515.67,34,11
1977,1,1000,57,2,100,0,80,14586.18,50,22
1977,1,3200,63,1,300,0,70,6392.64,12,47
1977,1,7360,38,2,100,0,50,6581.8,22,22
1977,1,3200,40,2,100,0,90,4105.43,19,23
1977,1,4480,64,2,100,0,80,2327.33,44,5
1977,1,1600,51,1,100,0,90,7697.04,41,13
1977,1,4480,39,2,200,0,10,21805.45,20,75
1977,1,3200,54,1,100,0,100,13372.9,26,37
1977,1,7360,27,2,100,0,30,551.56,4,14
1977,1,4480,21,1,100,0,90,12302.03,19,49
1977,1,3200,39,2,100,200,50,7644.33,19,48
1977,1,1000,35,1,100,0,100,16019.63,45,33
1977,1,4480,37,2,100,0,100,1902.98,9,16
1977,1,500,20,1,100,0,60,14901.97,45,51
1977,1,500,59,2,100,0,80,19620.05,21,74
1977,1,1600,52,1,100,0,40,9915.95,31,24
1977,1,7360,47,1,100,0,60,2191.61,14,10
1977,1,7360,23,1,100,0,30,12548.24,21,68
1977,1,3200,24,1,100,0,80,50000.0,48,71
1977,1,1000,54,2,100,0,50,2392.25,19,12
1977,1,1000,50,1,100,0,110,4413.68,17,24
1977,1,1000,51,1,100,0,50,34498.94,48,57
1977,1,1600,33,1,100,0,30,7645.18,10,64
1977,1,7360,37,2,100,0,10,3744.18,15,14
1977,1,1000,57,2,100,0,30,3969.88,8,44
1977,1,4480,40,2,100,0,111,1981.79,10,8
1977,1,4480,58,2,100,0,70,33733.31,40,42
1977,1,3200,62,2,100,200,40,1197.68,8,32
1977,1,3200,54,1,100,0,110,8805.25,46,16
1977,1,7360,51,1,200,0,50,990.94,25,3
1977,1,1000,37,2,100,0,50,34174.24,52,50
1977,1,500,19,2,100,0,80,8639.09,28,30
1977,1,7360,45,2,100,0,40,20258.21,47,58
1977,1,1000,22,2,200,0,20,45013.55,34,66
1977,1,4480,64,1,200,0,100,127.87,3,4
1977,1,7360,52,2,100,0,110,9515.52,9,77
1977,1,3200,50,2,100,0,70,11135.26,14,72
1977,1,3200,37,1,100,0,111,7698.75,19,51
1977,1,3200,26,2,300,0,80,5459.12,19,47
1977,1,4480,57,1,100,0,60,22614.45,35,59
1977,1,1000,21,1,200,100,70,12181.97,16,62
1977,1,4480,54,2,100,0,110,18395.5,17,65
1977,1,4480,29,1,100,0,50,18987.42,21,51
1977,1,4480,45,1,200,200,60,16207.14,27,55
1977,1,500,25,2,100,0,70,7218.52,26,27
1977,1,500,46,1,100,0,73,5879.71,49,13
1977,1,1000,63,1,200,0,60,14109.84,49,64
1977,1,500,26,2,100,0,80,19923.71,41,39
1977,1,3200,63,2,100,0,70,11291.19,12,72
1977,1,1000,62,2,300,0,110,19789.21,30,47
1977,1,4480,35,1,100,0,90,20633.55,47,28
1977,1,3200,32,2,100,0,90,1619.24,13,10
1977,1,3200,26,2,200,0,40,846.46,38,3
1977,1,4480,52,1,100,0,110,9636.54,31,25
1977,1,1000,55,2,100,0,90,20029.64,38,30
1977,1,4480,61,2,100,0,90,13067.78,36,33
1977,1,1600,45,1,100,100,70,36999.69,29,74
1977,1,3200,28,1,100,0,70,13714.53,12,65
1977,1,1000,62,2,100,200,80,3461.43,26,27
1977,1,7360,32,1,100,0,70,1301.18,35,6
1977,1,4480,26,2,100,200,70,7628.86,48,22
1977,1,1600,62,2,200,0,60,29493.38,51,46
1977,3,7360,61,2,100,0,90,2076.96,13,11
1977,1,1600,57,1,200,0,100,797.61,5,17
1977,1,3200,44,2,100,0,110,513.59,11,5
1977,1,4480,23,1,100,200,80,41830.23,36,75
1977,1,3200,28,2,100,0,110,25804.07,28,51
1977,1,3200,65,2,100,0,90,2854.76,8,19
1977,1,3200,22,1,100,100,10,15358.05,29,43
1977,1,7360,33,2,100,0,80,10851.59,35,19
1977,1,1600,66,1,100,0,70,7696.13,15,37
1977,1,3200,19,1,100,0,60,32419.45,31,75
1977,1,3200,31,2,300,0,111,12677.09,16,66
1977,1,4480,19,1,100,0,60,5448.55,8,78
1977,1,3200,46,2,200,0,50,18050.43,19,53
1977,1,1600,27,2,100,0,80,24588.91,46,53
1977,1,4480,30,2,100,0,40,23899.51,34,75
1977,1,1000,46,1,100,0,30,1438.24,41,6
1977,1,1000,46,2,200,0,80,693.04,4,15
1977,1,4480,68,1,100,0,70,6845.55,10,47
1977,1,7360,60,2,300,0,111,28060.93,30,73
1977,1,1600,34,1,300,0,73,15249.22,18,78
1977,1,1000,24,2,100,0,110,5525.5,9,38
1977,1,7360,40,2,100,0,90,22926.01,28,70
1977,1,7360,45,2,100,100,60,13295.11,49,54
1977,1,7360,54,2,200,0,110,636.28,3,17
1977,1,4480,41,2,200,0,70,5592.4,28,16
1977,1,500,44,2,100,0,70,3183.3,7,25
1977,1,1600,24,1,100,0,60,5241.07,7,51
1977,1,3200,21,2,100,200,90,14884.36,23,44
1977,2,1600,57,2,200,200,80,4286.95,28,22
1977,1,1600,43,2,100,0,111,1067.87,4,28
